psraid,sample,state,cregion,usr,pial1a,pial1b,pial1c,pial1d,pial1e,pial2,pial3a,pial3b,pial3c,pial4,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100204,1,50,1,R,1,1,1,2,2,1,2,2,2, ,3,2,2,67,6,2,1,6,1,.333406463365178
100214,1,48,3,U,1,2,2,2,2,2,2,2,2, ,3,2,1,84,3,2,1,2,5.39024390243903,1.79714215618791
100217,1,28,3,S,1,2,2,2,2,8,2,2,2, ,3,2,2,65,5,1,1,99,2.92682926829268,.975823795215156
100219,1,27,2,S,1,2,2,2,2,2,1,2,2, ,3,2,2,46,4,2,1,4,6.46341463414634,2.15494421443347
100221,1,17,2,R,1,2,2,2,2,2,2,2,2, ,3,2,2,77,3,2,1,5,1.68292682926829,.561098682248714
100222,1,44,1,S,1,1,1,1,1,1,1,1,1,1,3,1,2,45,8,1,1,9,5.41463414634146,1.80527402114804
100225,1,27,2,R,1,2,1,1,2,2,2,2,2, ,1,1,1,40,8,2,1,6,1.09756097560976,.365933923205683
100236,1,5,3,R,2,2,2,2,2, , , , , ,1,2,1,55,3,2,2,3,3.36585365853659,1.12219736449743
100248,1,42,1,S,1,2,2,1,2,2,1,2,2, ,1,2,2,71,8,2,1,6,1,.333406463365178
100250,1,50,1,R,1,1,1,2,1,2,1,2,2, ,1,2,2,56,3,2,1,6,1.8780487804878,.626153601929725
100257,1,17,2,U,1,2,2,2,2,2,1,2,2, ,3,2,2,63,3,2,1,4,2.48780487804878,.829450225932882
100259,1,27,2,U,1,1,2,2,2,8,2,2,2, ,3,2,2,85,4,2,1,99,2.87804878048781,.959560065294903
100261,1,25,1,U,1,1,2,2,2,2,2,2,2, ,3,2,1,78,6,2,1,6,1,.333406463365178
100264,1,26,2,S,2,2,2,2,2, , , , , ,3,2,2,73,4,2,1,1,1.41463414634146,.471648167687325
100267,1,37,3,S,1,2,1,2,1,2,2,2,2, ,1,1,2,51,6,2,1,7,2.70731707317073,.902637010574019
100273,1,45,3,S,1,1,2,2,1,2,1,2,2, ,1,2,1,54,5,2,1,3,2.14634146341463,.715604116491114
